Name,Latitude,Longitude,YelpID,Rating,NumReviews,Address1,Address2,Address3,City,ZipCode,State
Laundry,40.48878,-106.83759,Ob3Zs_RPBiW4DKZmWcv81A,4.5,704,127 11th St,,,Steamboat Springs,80487,CO
Back Door Grill,40.4871407,-106.8345718,kk7D59GrpzCdD6BoZTY0KA,4.5,720,825 Oak St,,,Steamboat Springs,80487,CO
Salt & Lime,40.485495,-106.832906,Ix6VJMdkZ61bPEAbN3ALaQ,4.5,929,628 Lincoln Ave,,,Steamboat Springs,80487,CO
Mahogany Ridge Brewery & Grill,40.48379,-106.83138,wG37FYfDXCSiIlsjYIMIZg,4.5,516,435 Lincoln Ave,,,Steamboat Springs,80487,CO
The Commons Food Hall,40.48520148118739,-106.83370258863108,nms5fz4IFY9XShhedcTqaQ,5.0,10,56 7th St,,,Steamboat Springs,80487,CO
Taco Cabo,40.485013,-106.835293,eFJdBHd4wHhDsQt8QO0s0w,4.5,368,729 Yampa St,,,Steamboat Springs,80487,CO
Yampa River Icehouse,40.485132634458715,-106.83555694950324,NkR5Py81TMdC6ihxIsCpoQ,4.5,42,751 Yampa St,,,Steamboat Springs,80487,CO
Skull Creek Greek,40.4850772,-106.833461,AJM3It0Ma0hANkZGzrY8cg,4.5,185,635 Lincoln Ave,Unit H,,Steamboat Springs,80487,CO
Mai Thai,40.4838033355671,-106.83111153535,DNwZOV6y7BweaT2YCp6uiw,4.5,136,425 Lincoln Ave,,,Steamboat Springs,80487,CO
O'Neil's Tavern & Grill,40.485835,-106.83542,LjGmwxsxbPQX3DVB7VB56Q,4.5,473,41 8th St,,,Steamboat Springs,80487,CO
otto PINT,40.4848824954935,-106.834657398409,nNKUqgXrC89mugAqpk4AYA,4.0,136,700 Yampa St,,,Steamboat Springs,80487,CO
How Ya Doin' Pizza N Eatz,40.5022105539746,-106.855053960713,okICZCIp9sIZ4nHnm0yZKg,4.5,81,1885 Elk River Plz,Ste 100,,Steamboat Springs,80487,CO
The Corner Slice,40.48506167,-106.833505,UC7JPRudz9Q6No58UeYQng,4.5,95,635 Lincoln Ave,Unit N,,Steamboat Springs,80487,CO
Primrose,40.4874221,-106.8388271,3SagbNfC6DOZA7xrsbSGWQ,4.5,85,1110 Yampa St,Ste 100,,Steamboat Springs,80487,CO
Table 79 Foodbar Steamboat,40.483131788319014,-106.830289922655,uTup70gR2eWiH88N1r8tUQ,4.5,173,345 Lincoln Ave,,,Steamboat Springs,80487,CO
Mazzola's Italian Restaurant,40.47127380178404,-106.8272422,4-3DSREDMDjlnRIeXZ_8gg,4.5,528,917 Lincoln Ave,,,Steamboat Springs,80487,CO
Sauvage,40.48643099942349,-106.83701539528,Nz-jyjcj1qaShE30cWOhlA,4.5,59,910 Yampa St,Ste 104,,Steamboat Springs,80487,CO
Mountain Tap Brewery,40.4866066,-106.83769,Y7--n9bnRX65X8XBBfUO_g,4.5,166,910 Yampa St,,,Steamboat Springs,80487,CO
Creekside Cafe & Grill,40.488889190389536,-106.83739342907192,Tw8bkUpBg32dkmmDqos0Tw,4.5,969,131 11th St,,,Steamboat Springs,80487,CO
Sumatera,40.488655,-106.837916,1ihwNJZ3e0pzzLsDluPQnw,4.0,183,1104 S Lincoln Ave,,,Steamboat Springs,80487,CO
